tx_id,date,time,sender_acc_number,beneficiary_iban,amount,fee_type,catch
a4934857-88fc-4d0a-9c3f-a2a711cc9ca6,2026-06-12,13:18:04,283657475854/5432,PT50001423324314681687364,134,SHA,False
509a0d47-9508-4ed3-9adb-8632ad614108,2026-06-12,12:00:15,664829416957/5432,EE611298025379821237,102,BEN,False
d38c5250-c405-4e5f-98ad-0b4d40b64fad,2026-06-12,12:25:39,449075418782/5432,NL96ANDL2355205299,484,SHA,False
f3e43659-5da4-4442-a8de-fd216b9f30af,2026-06-12,08:07:54,209477932726/5432,UA37325796BY9MANGWR9DCQPOSIYN,227,SHA,False
df1ca595-603e-48c8-8211-9d8d8d9b6161,2026-06-12,10:35:26,803479311753/5432,LI96088061GKTRDOMXI9B,180,SHA,False
d7906f0f-e75a-4181-be80-348b0d752f47,2026-06-12,13:39:20,565504298108/5432,IT68K0851963913FZ5IUWBZHRGE,194,SHA,False
440cf259-2db4-48fb-bcc8-d3334b7bf76a,2026-06-12,13:32:20,247303642353/5432,UA373314897XKGZU5K8RUTCWELVLH,320,SHA,False
7ecdd606-be47-49e5-9c98-f281e60f55d6,2026-06-12,15:47:45,657014004298/5432,DK6890017769026512,161,OUR,False
e85b8eaf-b002-4163-872b-f5f6ea11bc6b,2026-06-12,13:06:51,652086218103/5432,RS35170176874830099429,287,OUR,False
b6ead226-feb8-48ea-a4e3-ee04f85ddacb,2026-06-12,11:53:20,590653233041/5432,DE53280400463762434596,81,BEN,False
0da07ba8-fc3b-4a42-9e2e-7f1279054a1d,2026-06-12,09:11:39,309241650187/5432,PT50000159318861004991575,120,BEN,False
32205e53-f9de-4129-80bf-33aafaa17006,2026-06-12,09:32:21,535004903934/5432,IS120104559751462865206681,320,BEN,False
257c86ff-e21e-4c6e-b01a-cb5727c7b19f,2026-06-12,14:46:10,311881749838/5432,SA5750L4FW1WNVXWJDXMGLPP,77,OUR,False
3df5094c-e70e-4673-afa0-3c6ce3052893,2026-06-12,13:49:08,977940789976/5432,GE13BG6773257854334350,433,SHA,False
0ca20287-2c18-4b44-8894-ce5982db852d,2026-06-12,15:25:34,760290446352/5432,CH5406955ZD4R02JZH16K,232,OUR,False
30227f5f-d659-4c80-8da4-65d30ba36dcf,2026-06-12,10:21:46,201733232720/5432,DK8647504146915763,280,BEN,False
5cc250a0-7e0e-47e4-b365-0e74390af240,2026-06-12,15:30:56,498390857724/5432,PL65838410221826794441832506,219,SHA,False
7f83b24b-e412-4f14-bc0b-dce946921428,2026-06-12,11:53:11,605724657001/5432,SE3496749235966018225236,318,BEN,False
38db04de-fcde-4438-8a13-938ba5942ac4,2026-06-12,08:27:49,896129739787/5432,KZ27913PR0FREXELKPZC,288,BEN,False
4f86cb8e-f108-4bd9-bb4e-0e34aeab1c45,2026-06-12,22:30:45,745397895204/5432,IL800208864687758788313,202,OUR,True
174775fb-5708-483b-862b-29fa03898272,2026-06-12,10:59:07,880510907255/5432,GB22PRTC18981139626499,212,SHA,False
53a3ac5c-9746-4635-ba7b-e15fb530dfb3,2026-06-12,15:24:39,618850796029/5432,PL15114020598075123568113332,134,BEN,False
3549bc0d-4340-44ff-bf70-e93485924bf6,2026-06-12,14:58:23,920467642695/5432,UA78300335IVQFSCFTCEJYRFH6QZD,171,OUR,False
5f45da4c-b3b4-43cf-aba5-32fd585c0c8e,2026-06-12,22:27:57,710289782543/5432,BE09922720003857,323,BEN,True
ffdd0c4d-ba2b-4ce8-8660-50cd479148f7,2026-06-12,11:28:31,501659761894/5432,LU41619HOSXFNLRV5GZE,154,OUR,False
a3a0b766-db87-46b4-a3d6-0fd2a5acefac,2026-06-12,08:48:40,779136787775/5432,CY6160734820CMNL5NBFQLGPLUBD,154,SHA,False
8b8a9a38-8dda-41e5-8dfa-028ae53ffc9c,2026-06-12,15:58:48,740087353697/5432,SA0906IPPRDZKARWZNUGPYJ1,129,SHA,False
45d8f345-ef88-4af2-90e8-437712c12b8b,2026-06-12,08:09:36,418239909498/5432,PT50023566773296778520072,177,BEN,False
14d0981b-48ce-472b-9743-4155db403992,2026-06-12,08:28:30,776980054625/5432,ES8000871729372624249721,58,OUR,False
4fc1eef5-3581-4b32-a073-9f41e3a28fce,2026-06-12,11:36:35,920697079641/5432,MD77CB7SDXU4VPAEMK3O1JJR,80,OUR,False
27363800-d8ac-40c1-96c6-dea6b05fa26b,2026-06-12,22:29:56,653259230867/5432,EE321293650085706265,405,SHA,True
47a7c103-b2d4-48a1-8be5-e2b9c95698ff,2026-06-12,09:41:56,804396637427/5432,NO0979235412700,121,BEN,False
8c9350ce-f7ec-4ce9-930f-c8a25a1d2e74,2026-06-12,11:56:56,376473153618/5432,ME25510178545102997668,176,OUR,False
1dcba9fb-e6d7-4747-bf90-d2fabf2c3b4b,2026-06-12,14:50:28,182905227062/5432,LU88360JCQZDFMU7EEMU,106,SHA,False
dee1a70e-4d86-45b0-b3c9-9c4f32ca7e03,2026-06-12,13:44:15,408621846705/5432,LV43MARAMOWGYDH70SZKY,261,BEN,False
f847cf57-98f9-41e4-9e2c-a500bc67d07f,2026-06-12,10:44:45,845411874438/5432,IL610205859094308008783,395,SHA,False
28a51d19-f936-42be-af5d-d2b02bd49958,2026-06-12,13:14:52,552187715662/5432,SI56012396911631028,302,BEN,False
a81cf637-a31e-4177-8db4-598218030c8e,2026-06-12,12:01:33,746244811439/5432,ES2724212127125112525777,454,OUR,False
3f0dcbe5-9b34-4c9c-916d-a7f614fc2cc0,2026-06-12,11:56:59,449105080543/5432,DK3815410647300676,433,SHA,True
60014530-8444-49a3-aae5-f5039c8cde37,2026-06-12,11:00:43,329064294779/5432,ES2801004975710078116603,272,SHA,False
444312be-2e34-4e3b-8024-9191ba34b99b,2026-06-12,09:18:58,743395532107/5432,BA745676338937302587,160,BEN,False
2f851069-de8b-4b13-ade3-c7dbeb46cdb2,2026-06-12,09:39:31,265947128877/5432,UA06320478WYNBVRCXQDFDJJPDLBX,374,SHA,False
df0c5525-a43f-4a7b-862e-47017bf2496a,2026-06-12,13:56:36,504359232803/5432,ME25510708608091054031,128,BEN,False
ca684c9b-d605-429e-bfd0-fe3ea8113fa2,2026-06-12,14:57:56,390516210674/5432,NO9651001587378,156,BEN,False
582e3d06-9193-4b50-94e9-2d1324476945,2026-06-12,10:47:59,328588157567/5432,BG07RZBA270011XD1QV0GL,236,OUR,False
aec328e3-3bf9-4d2d-83c2-6d4684158b17,2026-06-12,13:19:27,704350859659/5432,AE840410957828988167748,393,SHA,False
908620f7-988b-449a-93e1-ba5921a96fbe,2026-06-12,11:11:08,226504473074/5432,RS35375532156882229563,291,SHA,False
d0fae675-ec12-42a1-8462-8c35aa4896af,2026-06-12,15:11:26,570849592552/5432,ME25565594772562492438,175,SHA,True
d6d20831-99d4-4b7c-99d8-7b0bbcc86578,2026-06-12,08:45:16,312739644532/5432,LV90LATBQX956FVTVAX8B,386,OUR,False
4883ae6c-5a8f-4e20-8442-edfbefdc9954,2026-06-12,22:08:36,753181547823/5432,RO28RZBLJTMTPBSX29DU08NN,196,BEN,True
e046c73e-6fcc-455d-be86-a49f68173b86,2026-06-12,08:33:21,185083600600/5432,FR1011315172698RCHAU7UYJR84,474,OUR,False
d03ae5de-0a81-4ab2-898c-9e451e7a8162,2026-06-12,09:18:27,825837263548/5432,LT075016759587601853,514,OUR,False
de76189b-fe06-4cd9-86f5-75b5ad9ecfa4,2026-06-12,14:24:42,446949253547/5432,HU57704099098440586131896707,167,OUR,False
ca578d1c-0722-4c44-8b58-e5611bb9c689,2026-06-12,14:15:21,220458493733/5432,DK6644185921018256,505,BEN,False
c67c703a-bb31-4521-9731-6f5fea842239,2026-06-12,15:11:16,137348068270/5432,FI8856295236082433,432,BEN,False
d34e4746-11df-4e25-8a32-11f08fb1c7fc,2026-06-12,11:57:08,459901781764/5432,AD9600014113WG6AGRZWZDRY,411,OUR,False
809b5ebd-58b3-42c8-a61b-ad0206646361,2026-06-12,12:31:36,510765429455/5432,RS35160291610220047019,426,OUR,False
ce459900-c288-4a58-852d-ddc3ab6ee1e8,2026-06-12,12:05:56,337908318781/5432,PT50017389111241522018426,72,OUR,False
d64a4dfd-e742-45eb-a8f8-253d8e7ed8cc,2026-06-12,15:26:03,649170234038/5432,IE85DPFA14093789319746,495,SHA,False
29beb135-6eee-40b4-ac52-df9b636bfac4,2026-06-12,08:12:29,190066380381/5432,CR35012054801456305795,207,OUR,False
df35a620-4b93-468e-a237-40686bf45d9e,2026-06-12,08:23:28,303895108700/5432,KZ82885NGPTT48L4JYU7,94,BEN,False
e3cb44f2-8426-4d0a-ba19-03977895aa76,2026-06-12,15:13:17,962933490251/5432,PL45193012626004248847197564,346,OUR,False
1d61c254-2867-4f24-948a-66196efeed82,2026-06-12,15:20:38,826438267748/5432,FR231287911241WYS5RNU3LDF57,461,BEN,False
e08b39a8-6cd8-41f3-b426-26d24e108275,2026-06-12,08:14:54,750394036731/5432,ES9420931719061843528928,261,BEN,False
8e2daa75-6d08-4aa6-88d2-cfe09bec5789,2026-06-12,10:41:08,761224986180/5432,UA83328351X4SHNN6XY558WMIB6CZ,516,SHA,False
26e080b7-bfa4-4237-a532-8591ff9cfa3e,2026-06-12,11:53:02,227520156651/5432,RO87ARBLQGOYCP6UJR4Z1PIW,349,SHA,False
08e93805-10f1-41c2-b229-7c9448044d9f,2026-06-12,09:17:58,305296177680/5432,PL82906500067607303604348726,119,OUR,True
6f6d9169-3fac-4399-b329-bd14685bc525,2026-06-12,19:41:02,238806607641/5432,CH2883039DXFGHZLQCLG8,414,OUR,True
460ce8c3-0c2a-41bd-afb3-2dfc9e38e1bc,2026-06-12,15:31:25,518220970397/5432,LT393009842449486900,274,SHA,False
6419f5b6-49a8-40dc-ba87-126f78e107b1,2026-06-12,15:50:10,502364526505/5432,AE930504156978549883339,376,SHA,False
7a14c28e-c49b-4e6b-9539-159d69d06af1,2026-06-12,11:09:24,309479807944/5432,CR33059463845172007556,150,BEN,False
c97b0fb0-126f-4111-9517-d7e79260b4a8,2026-06-12,13:08:37,525183356790/5432,HU62523062877025741696385431,133,SHA,False
69807c77-cf86-4240-9e2c-049687632ab8,2026-06-12,13:05:37,750092788269/5432,IL870202117590865895183,54,SHA,False
55ab23f1-eb24-4cc4-9f80-b2cdafd0d879,2026-06-12,11:42:31,565310923591/5432,UA273563343ROMCO8YRKSNGMS4QJP,450,OUR,False
a7352de2-dca3-4bb2-b284-4f4f444ae86c,2026-06-12,08:54:15,819742676937/5432,FR151180842075JZSEEAOTPKQ72,454,SHA,False
0168400f-5cac-4885-807b-a2b7cad4ccc1,2026-06-12,22:48:31,265731545688/5432,TR20000460PGSCXTJTAIQQQ3VI,91,OUR,True
e24bca91-9b05-48b9-858c-c9f1ace1fb5d,2026-06-12,15:58:03,314981231391/5432,GE55IS3132144903433376,370,OUR,False
604b1043-7587-48c1-b04a-bb7ad386b3ff,2026-06-12,12:33:14,558857793294/5432,TR22001470B2ZRPEX0NZPRS2JM,102,BEN,False
2554d09c-b269-4b40-ada0-463d0c717745,2026-06-12,15:50:31,963713718536/5432,SA40955Z8SP7KXH7SNWHQS9G,289,SHA,False
bda16be1-d3a1-4d39-95ec-139cf4d73168,2026-06-12,08:36:41,979952268744/5432,LU58077AYJDHHE71A5HJ,327,SHA,False
15028e75-9db8-4b55-8d55-689de5634130,2026-06-12,15:36:59,256289185157/5432,BE86397459658450,324,SHA,False
e5e6e93a-5a98-4dbe-a826-b5f9a7368246,2026-06-12,12:28:30,891165604010/5432,PL65105017487908417170104122,77,SHA,True
2b27516b-01ae-4e52-8011-6b20b3e6e361,2026-06-12,09:11:53,901010134627/5432,BG49BGUS061259WIGL7TSX,368,SHA,False
7938b3eb-922c-4f8b-afda-988cc5520552,2026-06-12,11:55:25,462753646727/5432,IS860509840154681159521232,107,SHA,False
2efa25d4-3009-42b1-9e3c-7b52918f2803,2026-06-12,11:10:14,271818842505/5432,TR37001390EZ6H88AGTCLCWY2X,482,SHA,False
568c7de1-e50f-43cf-807b-23dea7e79e0c,2026-06-12,08:28:58,610691187988/5432,NL81CITI0610930299,92,OUR,False
d62faad1-670f-47af-b448-64d524963652,2026-06-12,08:00:28,285733725334/5432,HU73137885297337423048080062,82,SHA,False
72bf58a7-a87e-460b-9770-20774e25da2b,2026-06-12,18:59:15,634148505167/5432,BG12CECB576238XOKFHNAU,397,BEN,True
89a35518-707a-47fd-91a0-2e528ecc8035,2026-06-12,14:41:58,264390152533/5432,BA985514193826503355,208,BEN,False
7f4a7a0f-b12d-4aaf-af5a-fd29d932bee7,2026-06-12,14:50:29,372306156446/5432,CR52010007585123336583,63,OUR,False
f6608bcf-2706-40ca-8baf-d79cfb43fc8c,2026-06-12,09:06:43,775696189273/5432,IE14ICON79057084414014,512,OUR,False
932bd97c-ec2f-43c4-9aa7-ad1f8c37a6c9,2026-06-12,14:20:00,874135333837/5432,GE28BT1184189196775586,349,SHA,False
1bca1bb3-5062-4c0b-8d0b-86d7cae47805,2026-06-12,14:07:39,757445184782/5432,FI4857140458398696,335,OUR,False
8c212186-cbe3-4e0a-881e-64079ea3af3a,2026-06-12,11:08:22,709427243501/5432,CH5081011IPJ4YGPMUY7E,506,BEN,False
12b4f44e-e14f-4323-a24d-3096616321f4,2026-06-12,14:07:24,933005394733/5432,IE29ULSB69764821338075,491,SHA,False
ff82779f-9125-4ddb-b9d4-ff99ce52d63d,2026-06-12,10:14:38,940593864023/5432,IL240202255718479898009,292,BEN,False
54568693-1fcd-4501-b82d-d39a748a8a20,2026-06-12,15:25:07,876435268869/5432,BG98SOMB908423IATQY4OX,329,BEN,False
239c7fa2-a179-4a96-b134-c70f1891d41d,2026-06-12,12:25:02,640487690777/5432,PT50002335748281495100775,416,OUR,False
15886fe8-4d27-4f45-a6d3-020c809644e9,2026-06-12,13:24:41,984569241570/5432,UA59380526FLKDOC9ORWIBEJTKWTV,242,SHA,False
d58b4fec-a7cf-4de1-84eb-428c907204f9,2026-06-12,18:30:46,541569507801/5432,CZ1126002013340099162320,225,OUR,True
59ee83bd-d045-409a-bbc8-5a107307c301,2026-06-12,08:25:41,571407543620/5432,SK2699526072724265332803,108,BEN,False
4a1ba0bb-1a7c-4f88-a3c6-3e2459475ae5,2026-06-12,08:38:48,456192302252/5432,IS430336738627628317347875,102,SHA,False
64d2bbba-0257-4f5d-8a65-0dba6c55aeef,2026-06-12,15:24:08,565680844429/5432,DE39670700245298606247,68,OUR,False
4124c5ed-3007-48b2-8527-81f1562bedf7,2026-06-12,12:15:59,966875527308/5432,DK8605371142566794,325,BEN,False
c5a9071e-9be0-4393-8b28-e18d9d491678,2026-06-12,15:19:43,180013533521/5432,AT677604012606794569,257,OUR,False
9775c30c-9a73-4c03-8f72-6d1a28f13323,2026-06-12,14:27:54,599343426399/5432,SI56012018952753450,77,SHA,False
8ea79078-c6cc-4934-b9a7-264e3b2d7b18,2026-06-12,18:37:18,908122976017/5432,IS270169058208148460143601,378,OUR,True
a05282a7-f0d7-4aa1-971c-6a3919372e22,2026-06-12,09:37:50,237883188463/5432,CZ0367006463762438234660,402,OUR,False
2465b0a2-2578-4533-abba-63997aaa66f9,2026-06-12,15:40:00,696397480382/5432,HR0624030091480989744,353,SHA,False
475a0b85-9c34-4a95-83ac-cfef787f70a3,2026-06-12,12:01:59,267665834283/5432,EE633343532566370453,312,SHA,False
59a08e3d-ebf8-4d4f-9619-d16795066187,2026-06-12,08:06:36,383195955738/5432,IS650714784535006547864611,175,SHA,False
d0806180-8cc8-4869-b4b9-45ddc2954525,2026-06-12,14:03:36,594088687574/5432,GE87ZB2877320471536034,503,BEN,False
a363caaa-d4aa-4326-8b22-48b53cd53a84,2026-06-12,22:16:57,526413329557/5432,DK0247686747637325,467,BEN,True
340eea6d-4909-4445-bdbe-bd606c5f397d,2026-06-12,13:23:09,645854535239/5432,NL02ICEP5032537976,74,BEN,False
fddba067-118f-46b4-97b9-4b502b0492df,2026-06-12,09:46:10,738274987256/5432,NO2874515832738,467,SHA,False
af90f5ac-61d3-4376-8836-5069d6ca3a14,2026-06-12,09:54:29,815841020411/5432,TR30001410BJIZJRZGJDZQ11NS,400,BEN,False
a9eba937-10a8-4c1f-b5fe-1c3cb1a672e7,2026-06-12,14:37:43,432493385816/5432,SE8191752758260862613471,251,BEN,False
d8947098-079b-4ff4-a741-7f3367a4915f,2026-06-12,12:52:35,424620698321/5432,ME25530053612706767346,437,BEN,False
4d7d62b6-d1fd-45df-97f0-52a5caa49e83,2026-06-12,13:22:35,303718719674/5432,CH8780615JLMLIYJ8MWPE,83,OUR,False
2ca1fc8e-16c2-427f-ad16-10129fe12364,2026-06-12,14:24:47,256759727336/5432,SA6991AXPSAUG3DWTO9JV2AA,317,SHA,False
ab630896-76a7-4e6d-b68c-1393b896587e,2026-06-12,13:53:40,213511127909/5432,LV21LKJFBTV9RWRSUD7RY,439,SHA,False
a263d2e9-4974-484b-bb0e-5fc80a17e66c,2026-06-12,10:16:18,473188548934/5432,KZ11930LOYCTTJD0MHLU,179,BEN,False
0517b5c7-a471-42d1-96f9-0ac6d6184770,2026-06-12,15:42:48,366529543047/5432,CH4000790ZQUCLQ0NNAEX,169,OUR,False
df610ec1-95a7-4947-90f4-fce5e2d451e1,2026-06-12,14:31:32,203801671343/5432,BE42349959175954,199,BEN,False
4c59fc19-e741-4255-b95a-945bb47e987f,2026-06-12,14:34:22,537796052823/5432,ES2720916648118493463010,263,BEN,False
54334d72-5871-4464-94f9-5cd7fa27825d,2026-06-12,08:06:25,672592830702/5432,GB35EPMT46087769994949,54,BEN,True
1f748a89-d8f5-4d21-b19a-b78733d529a9,2026-06-12,21:20:46,246645384576/5432,SA33803QSYO33AHDXP0FZOJZ,82,SHA,True
8e0ed877-5cf0-45d8-a57b-403856fa85cd,2026-06-12,12:07:43,715927082741/5432,GE62TB6979818347631450,163,BEN,False
8ec8317f-dcd5-4a78-8ced-4eb09beb2e55,2026-06-12,08:05:04,202953692070/5432,DK6425144452886996,357,OUR,False
70550587-53b1-452a-8120-b66967f047af,2026-06-12,12:48:01,705278362171/5432,UA54300346KAXECMCPTGFLNKBF4A5,255,SHA,False
8a48a2ac-d2d0-4678-b675-0bd3fe819fb9,2026-06-12,08:00:55,370066308868/5432,LT105010954021460013,239,OUR,False
2e7bb5b8-4548-4cef-9e89-6fbee8fbb601,2026-06-12,11:02:33,980245644772/5432,MC503000319129KDJWXZRASIZ93,202,BEN,False
7764ebdd-95cd-4e07-b874-9907318116e2,2026-06-12,09:54:33,977630674305/5432,ME25907026811786580718,194,BEN,False
1bfd7e25-16e4-45b2-abf2-046da5287400,2026-06-12,10:23:04,803950214653/5432,CH0330223CIY4IZQQKPL3,155,SHA,False
7d92c4c5-2db7-4e10-b252-9eb4c4d13e63,2026-06-12,15:01:49,590715865724/5432,GB86EPMT67183947353732,327,OUR,False
8edce436-f531-4e71-b287-cf694ca90b0e,2026-06-12,11:31:43,344948070764/5432,CY4044729138308BEJLTAOJVEEMU,123,SHA,False
f8a9343f-ec88-4553-8b6f-0251e6745a66,2026-06-12,10:46:42,524244564625/5432,UA6330650097ZK0NEUD5IYGL8QIJS,75,SHA,False
5a2e5f32-dd1a-46a3-9d84-5936de9bea8c,2026-06-12,11:38:23,693776792428/5432,HU80682762986530590552376209,74,OUR,False
2d096276-3764-4172-b13c-1e667b63192f,2026-06-12,08:04:16,611605278163/5432,FR322004132227SD8N6RIHXTY45,227,BEN,False
0dc3d6b1-f160-431b-850e-1124c047c1bd,2026-06-12,08:19:25,533925820488/5432,BA101940641358778140,450,BEN,False
0b1323f4-012e-44d4-b93e-8439dd32a612,2026-06-12,15:46:16,670366272015/5432,AE460509839397036976050,484,SHA,False
df2ad505-5dc0-4d10-92d3-e6c7b388bb03,2026-06-12,09:28:42,291328861606/5432,CH3706588AHDQQQQTZ6NA,425,BEN,True
02f6f017-6e05-4a4f-9612-20e016b8d8a4,2026-06-12,09:54:35,167157853751/5432,GR850844987OPKSVMVT6WIQSC5H,497,SHA,False
c417607e-f453-408e-8f98-8de2e5c55836,2026-06-12,11:06:07,608073627320/5432,SI56031207616468123,483,BEN,False
11c16f81-3327-487f-aa73-cc0fab18d3f9,2026-06-12,12:23:47,616649987782/5432,ES0902155198071641389982,189,OUR,False
369d1e35-6500-42fa-84c8-7259439a3dc0,2026-06-12,14:25:25,562760021874/5432,SK8684403382777860544428,237,BEN,False
281f434f-3c49-406b-b4c7-797d73765478,2026-06-12,12:54:46,806108585899/5432,IT96K0311067303NUXRWHWZVFGU,409,OUR,False
3e1bd509-866a-4627-8b0d-7e9b1545b61d,2026-06-12,18:14:34,224551321004/5432,CR39012626780195226199,72,BEN,True
69c5a570-311e-48fe-baf4-5bc2c008d173,2026-06-12,11:38:33,705258915936/5432,MD65DCYEVRJQQHKBXFFDIMSW,365,SHA,False
1b70c494-ea83-411f-8d05-ee51d5321fab,2026-06-12,12:15:25,886585863341/5432,AT043232280904518450,482,OUR,False
9de6d5e5-4934-424c-b9a9-dbf6a3802166,2026-06-12,11:11:09,959023273372/5432,TR500010909MIRNWGDXUE0M2OJ,73,SHA,True
78a1cae7-2b22-4a4d-9a9b-011d5a37f053,2026-06-12,10:20:32,926199449877/5432,CH67002084IYX4GPLUBMA,500,OUR,False
c9411fb9-f80f-4a47-a6b1-b5af08d69d98,2026-06-12,08:57:58,778459461134/5432,AT191632027087485184,151,BEN,False
c7a1b260-fee6-4260-b71e-4b6fcd4a2b54,2026-06-12,10:25:59,605608417982/5432,PL67889010114413752661040873,431,BEN,False
5c9f25d5-e120-4b5f-81a7-259e0b44886f,2026-06-12,11:57:54,944389421055/5432,LU75143JEFZ9ZPKXYFKP,191,OUR,False
3aa39990-450e-4fa5-a0f0-8d7afce030d7,2026-06-12,15:11:35,170944325005/5432,UA61305299GJVSFYSSMYUPZKR2FVS,253,SHA,False
8105d98a-6fc6-4d22-8fed-10dd2e78c230,2026-06-12,11:42:22,370891006234/5432,AT263504440481002640,385,BEN,False
b24eb5fd-c411-4659-a7f6-c4917eb26bf2,2026-06-12,15:29:32,510244663742/5432,SA8508C1HPWNYH4AWCJQXZJH,235,BEN,False
676e21c9-1070-45b8-a825-0459fca78a53,2026-06-12,09:01:24,286308650719/5432,ME25907999477041445587,186,BEN,False
a258ae01-0b21-43cc-9550-cef4b4410d93,2026-06-12,08:31:15,175081294148/5432,IS380781568912132229544585,414,BEN,False
f565a239-da71-48bb-8ad3-077eefe434b3,2026-06-12,15:42:10,553533349494/5432,HU46569596650551674527731190,99,SHA,False
11e98947-301b-43db-81d4-bc3ca22cfeb7,2026-06-12,23:27:39,206931280362/5432,EE880224129058535620,104,OUR,True
5ca2a670-a3ff-4265-9145-322982006480,2026-06-12,09:57:32,687754391721/5432,HR3124840081230264177,118,BEN,False
685febc3-45d8-4e6b-b245-93e1348e8de2,2026-06-12,11:26:14,794551094115/5432,HU40709943950103671718200868,123,BEN,False
09063125-631b-433e-afd4-f4caad47a7a7,2026-06-12,12:56:39,286404621767/5432,CZ4579702516702860592741,425,SHA,False
0c389b1d-c9f9-4ec2-8df3-bf6d8f9d7e06,2026-06-12,09:30:09,240526314588/5432,NL07DHBN6913445876,457,SHA,False
a4f63fb7-08ac-4738-939e-07e307b87807,2026-06-12,14:04:37,348662170612/5432,FR211009696274VM57V4KBXZC89,502,OUR,False
6445ffea-bfcc-4f87-a217-683aa98f1c70,2026-06-12,09:30:02,291368398266/5432,LV33HABAJVVFJEO9YFBI5,160,BEN,False
ce1b66d7-d7f5-4235-a1da-127cadca9ab6,2026-06-12,15:53:43,348064877076/5432,CZ8422503809414890711270,319,BEN,False
df3b3d31-b419-4fb0-bdfe-9863c1c556c2,2026-06-12,13:49:24,430705233862/5432,LV57LLBBLGMLQ3IRCHGZF,60,OUR,False
8b45b0d2-b257-4665-b521-bcd95af11bc9,2026-06-12,15:53:37,188094994262/5432,SE1792846974109597469106,454,SHA,False
b79689fb-839c-4665-a7b2-c1984365d2e2,2026-06-12,08:47:01,348217851342/5432,BG29BNPA205115LFQZQL1J,165,SHA,False
146a0d35-2781-46b3-a41e-32abaf487dfa,2026-06-12,13:32:23,525236324773/5432,CH3000263ZCQ3OSRNXQEO,433,OUR,False
92a4760b-f459-47c3-b30d-b296eff3ece7,2026-06-12,12:24:34,609066837159/5432,GE06TB2826520640288944,484,BEN,False
f6ba9fa6-5b62-4211-ba8a-6d9527073a17,2026-06-12,14:35:34,330897871762/5432,SK0999540515605498884652,173,OUR,False
b2568c1c-d96c-4885-a2ab-291a209bffee,2026-06-12,10:06:12,144702920458/5432,CR13083943412356056804,154,SHA,False
1d510f92-7b46-46cd-a7d2-715d8814a601,2026-06-12,08:39:56,321660069817/5432,IE17PNBP45697838671124,321,BEN,False
8115f23c-77f6-4e3a-b95a-6f3d07d39e4a,2026-06-12,08:52:05,130141307450/5432,PL38124029175508699648451483,452,OUR,False
c2737a30-cd47-48eb-9d4d-3956ea22e38e,2026-06-12,13:09:33,283726144557/5432,BA971991366254011443,397,BEN,False
092f0922-7e14-40bb-bbe6-8445fb3945f5,2026-06-12,09:04:08,967924766213/5432,PL65109019262670201717800929,254,BEN,False
